Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2026-688153,2026-04-29,2026-04-30,Same Day,CUST-00120,Anthony Johnson,Consumer,United States,Salt Lake City,Utah,44335,West,FUR-FU-10000012,Furniture,Furnishings,Furnishing Model-L12,823.86,9,0.0,344.43
2,CA-2024-320281,2024-11-18,2024-11-19,Same Day,CUST-00138,Anthony Lee,Corporate,United States,Phoenix,Arizona,26704,West,FUR-BO-10000011,Furniture,Bookcases,Bookcase Model-K11,163.23,1,0.0,3.31
3,CA-2025-950155,2025-11-12,2025-11-19,Standard Class,CUST-00236,Elizabeth Miller,Consumer,United States,Indianapolis,Indiana,30257,Central,TEC-MA-10000012,Technology,Machines,Machine Model-L12,3389.64,3,0.0,944.89
4,CA-2024-501124,2024-06-30,2024-07-01,Same Day,CUST-00045,Maria Eirich,Consumer,United States,Richmond,Virginia,97806,South,TEC-CO-10000012,Technology,Copiers,Copier Model-L12,4350.82,4,0.1,2177.12
5,CA-2026-172792,2026-12-08,2026-12-10,First Class,CUST-00184,William Robinson,Home Office,United States,Charlotte,North Carolina,39831,South,FUR-TA-10000013,Furniture,Tables,Table Model-M13,463.06,4,0.3,-299.23
6,CA-2026-373903,2026-03-02,2026-03-08,Standard Class,CUST-00210,Charles Davis,Corporate,United States,Milwaukee,Wisconsin,80282,Central,OFF-AR-10000010,Office Supplies,Art,Art Model-J10,94.54,2,0.0,53.52
7,CA-2024-636265,2024-07-01,2024-07-04,First Class,CUST-00009,Ola Baker,Consumer,United States,Baltimore,Maryland,66959,East,OFF-AR-10000014,Office Supplies,Art,Art Model-N14,226.68,6,0.0,124.01
8,CA-2024-877991,2024-04-28,2024-05-03,Second Class,CUST-00048,Dorothy Wardle,Corporate,United States,Miami,Florida,67154,South,FUR-BO-10000001,Furniture,Bookcases,Bookcase Model-A1,1983.42,9,0.0,270.85
9,CA-2026-414910,2026-01-24,2026-01-27,First Class,CUST-00170,Donald Jackson,Consumer,United States,Newark,New Jersey,53279,East,OFF-PA-10000010,Office Supplies,Paper,Paper Model-J10,44.54,2,0.0,24.95
10,CA-2025-497562,2025-06-03,2025-06-07,Second Class,CUST-00116,Susan Davis,Consumer,United States,Milwaukee,Wisconsin,48752,Central,OFF-LA-10000007,Office Supplies,Labels,Label Model-G7,34.51,7,0.0,17.16
